fullname;shortname;category_path;idnumber;summary;backupfile;format
Geographie des territoires : l'afrique - cm;Geographie des territoires : l'afrique - cm-HL4EC11;Sciences humaines et sociales / Licence Histoire et patrimoine / Semestre 4 Histoire et patrimoine Parcours Classique;HL4EC11;geographie des territoires : l'afrique - cm;/data2/moodlebackup/2021/sauvegarde-moodle2-course-2347-geographie_des_territoires__lafrique_-_cm-hl4ec11-20220713-0800.mbz;topics
Geographie des territoires : l'afrique - cm;Geographie des territoires : l'afrique - cm-HL4EC11;Sciences humaines et sociales / Licence Histoire et patrimoine / Semestre 4 Histoire et patrimoine Parcours Classique;HL4EC11;geographie des territoires : l'afrique - cm;/data2/moodle/2022/filedir/48/3c/483caa5df87a0a28a063cd5c3d01982af29a5138;topics
